19.5 33.8 24.0 33.1
20.0 31.0 23.8 28.4
23.7 34.6 29.4 33.2
21.1 27.0 22.9 25.9
18.3 32.3 22.7 31.8
18.1 32.9 22.4 31.9
21.8 36.0 27.5 35.1
23.0 27.6 24.6 22.7
14.1 26.1 17.9 23.0
15.5 28.0 20.3 25.0
16.6 31.3 21.7 30.7
18.7 30.7 22.3 28.8
20.4 31.5 23.8 29.3
20.5 29.4 24.2 28.6
21.0 32.2 24.0 30.6
21.2 33.5 26.0 31.5
16.2 28.9 24.6 25.4
17.6 27.7 20.7 25.5
14.7 26.7 18.3 26.1
14.3 29.1 19.8 28.7
15.7 30.0 21.7 29.0
16.9 28.7 21.1 28.3
16.0 27.9 20.7 26.9
15.6 28.7 20.6 27.8
11.4 29.3 21.8 28.3
10.8 31.7 23.0 30.8
12.2 34.3 25.0 31.9
12.5 28.8 25.4 25.6
12.5 26.9 19.0 25.2
16.6 28.5 21.1 26.1
16.5 29.8 21.1 28.8
