15.0 27.6 18.5 26.9
14.3 29.5 18.5 28.8
14.2 29.8 19.8 29.4
16.2 30.6 21.9 30.5
16.1 33.6 24.2 32.7
15.9 34.5 23.1 33.2
16.8 36.5 24.0 35.6
17.1 29.2 21.3 28.6
14.6 27.4 18.6 26.9
15.4 28.1 20.2 27.6
16.0 28.5 20.2 27.6
15.7 26.4 20.9 23.0
15.0 26.7 19.8 25.1
10.7 26.6 19.7 25.0
13.3 28.8 20.7 27.3
15.4 30.8 22.4 30.0
18.3 32.6 23.1 31.9
17.7 33.2 24.5 32.6
13.3 30.0 22.3 29.7
11.7 31.0 22.9 30.6
9.9 31.1 21.9 27.9
14.7 23.3 19.3 21.6
11.6 22.4 15.4 21.6
13.8 23.5 16.9 22.9
13.6 22.8 15.5 21.8
13.7 27.4 20.1 26.1
11.1 23.6 17.0 23.5
10.7 25.7 17.6 25.0
13.7 25.8 17.0 25.3
16.9 20.0 18.2 18.1
