19.1,36.7,24.9,35.6
23.9,36.9,29.6,35.0
18.5,30.8,25.8,28.0
17.7,27.1,21.6,25.8
15.1,26.3,19.8,24.4
15.9,27.2,20.3,25.5
15.7,31.7,20.5,30.5
16.1,32.8,22.9,30.5
17.9,27.3,23.6,26.0
16.0,28.5,22.7,27.8
16.8,32.4,23.9,30.1
14.5,33.2,25.5,29.7
16.2,28.4,22.5,27.6
16.3,29.9,23.9,28.3
14.5,31.0,22.5,29.1
15.1,27.7,22.8,19.7
14.6,26.1,19.9,25.4
14.2,26.4,20.4,24.1
16.6,32.6,21.2,31.4
20.5,36.5,26.4,34.9
23.2,33.4,28.2,31.8
18.5,31.3,24.2,29.1
18.2,29.2,22.9,28.1
16.4,24.4,20.4,22.2
16.8,30.8,22.4,29.1
18.5,27.0,21.3,26.4
16.1,26.4,20.1,24.8
15.3,27.5,19.3,26.9
16.1,30.1,21.0,29.4
19.8,31.3,21.2,30.1
16.3,21.9,18.1,20.8
